label,angle,planeity
A02F,0.05496,0.00612
A02H,0.05565,0.00305
A02S,0.03443,0.00000
A02E,-0.00591,0.00000
C02F,0.04281,0.00287
C02H,0.04561,0.00188
C02S,0.00431,0.00000
C02E,-0.86531,0.00000
D02F,0.09434,0.00433
D02H,0.09436,0.00168
D02S,0.01695,0.00000
D02E,-0.35528,0.00000
E02F,0.11175,0.00516
E02H,0.11167,0.00495
E02S,0.12799,0.00000
E02E,-1.18213,0.00000
A04F,0.00542,0.00352
A04H,0.00389,0.00159
A04E,-0.01718,0.00000
C04F,0.04093,0.00630
C04H,0.04133,0.00148
C04S,0.01619,0.00000
C04E,-0.13436,0.00000
D04F,0.03828,0.01105
D04H,0.03320,0.00073
D04E,-0.38211,0.00000
E04F,0.11178,0.00810
E04H,0.11166,0.00681
E04S,0.12610,0.00000
E04E,-1.29585,0.00000
A08F,0.18530,0.00548
A08H,0.16796,0.00712
A08S,0.08032,0.00000
A08E,-0.13507,0.00000
C08F,0.02866,0.00461
C08H,0.02180,0.00191
C08S,0.00258,0.00000
C08E,-0.49264,0.00000
D08F,0.03601,0.01101
D08H,0.04295,0.00515
D08S,0.01413,0.00000
D08E,-0.29563,0.00000
E08F,0.11172,0.00672
E08H,0.11167,0.00624
E08S,0.14372,0.00000
E08E,-1.00780,0.00000
